70.112.154.66,"GET /content/images/2016/05/paw01.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/paw02-1.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/paw03-1.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/rest01.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/rest02.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/rest03-1.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/rest04.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/rest05.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/va_login_02.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/paw04.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/paw05-2.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/Timelion_-_Kibana-6.png HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/05/CjDpUPaXIAAiSRV-jpg-large-1.jpg HTTP/1.1",200
70.112.154.66,"GET /content/images/2016/02/IMG_4810-copy.jpg HTTP/1.1",200
66.249.66.200,"GET /2018/06/17/analysing-network-data-with-apache-kafka-ksql-and-elasticsearch/amp/ HTTP/1.1",301
66.249.66.217,"GET /2018/06/17/analysing-network-data-with-apache-kafka-ksql-and-elasticsearch/amp/ HTTP/1.1",200
69.162.124.231,"HEAD / HTTP/1.1",301
69.162.124.231,"HEAD / HTTP/1.1",200
157.55.39.49,"GET /robots.txt HTTP/1.1",301
157.55.39.49,"GET /robots.txt HTTP/1.1",200
40.77.167.74,"GET /2016/06/01/obiee-12c-blog-posts/ HTTP/1.1",301
34.240.250.19,"GET /rss/ HTTP/1.1",301
34.240.250.19,"GET /rss/ HTTP/1.1",200
159.65.179.177,"GET /rss/ HTTP/1.1",301
159.65.179.177,"GET /rss/ HTTP/1.1",304
200.47.32.150,"GET /2018/08/02/kafka-listeners-explained/ HTTP/1.1",301
200.47.32.150,"GET /2018/08/02/kafka-listeners-explained/ HTTP/1.1",304
200.47.32.150,"GET /content/images/2018/08/aws01-1.png HTTP/1.1",200
200.47.32.150,"GET /content/images/2018/06/IMG_0257.jpg HTTP/1.1",200
200.47.32.150,"GET /content/images/2018/08/aws02.png HTTP/1.1",200
200.47.32.150,"GET /content/images/2018/08/docker01.png HTTP/1.1",200
200.47.32.150,"GET /content/images/2018/08/IMG_3838-1.jpg HTTP/1.1",200
200.47.32.150,"GET /content/images/2018/08/IMG_4351.jpg HTTP/1.1",200
69.162.124.231,"HEAD / HTTP/1.1",301
69.162.124.231,"HEAD / HTTP/1.1",200
66.249.66.202,"GET /2016/07/05/reset-hue-password/ HTTP/1.1",301
66.249.66.215,"GET /2016/07/05/reset-hue-password/ HTTP/1.1",200
66.249.66.200,"GET /2016/03/24/my-latest-irc-client-kibana/ HTTP/1.1",301
66.249.66.213,"GET /2016/03/24/my-latest-irc-client-kibana/ HTTP/1.1",200
58.96.62.183,"GET /2018/05/21/kafka-connect-and-oracle-data-types/ HTTP/1.1",301
58.96.62.183,"GET /2018/05/21/kafka-connect-and-oracle-data-types/ HTTP/1.1",200
58.96.62.183,"GET /assets/css/screen.css?v=41d65e1a14 HTTP/1.1",200
58.96.62.183,"GET /assets/js/jquery.fitvids.js?v=41d65e1a14 HTTP/1.1",200
58.96.62.183,"GET /assets/js/index.js?v=41d65e1a14 HTTP/1.1",200
58.96.62.183,"GET /assets/fonts/casper-icons.woff?v=1 HTTP/1.1",200
58.96.62.183,"GET /content/images/2018/05/IMG_2759.jpg HTTP/1.1",200
58.96.62.183,"GET /content/images/2018/05/IMG_8934.jpg HTTP/1.1",200
58.96.62.183,"GET /content/images/2016/02/IMG_4810-copy.jpg HTTP/1.1",200
66.249.66.215,"GET /2018/02/01/howto-oracle-goldengate-apache-kafka-schema-registry-swingbench/amp/ HTTP/1.1",304
58.96.62.183,"GET /content/images/2018/06/IMG_8940.jpg HTTP/1.1",200
58.96.62.183,"GET /favicon.ico HTTP/1.1",200
